episode,clearing_price_last,cap_last,entropy_coef,shaping_weight,entropy_decay_triggered,active_agent,epsilon,reward_A1,green_frac_A1,delta_green_A1,penalty_A1,shortfall_A1,queue_size_A1,actor_loss_A1,critic_loss_A1,bid_price_A1,reward_A2,green_frac_A2,delta_green_A2,penalty_A2,shortfall_A2,queue_size_A2,actor_loss_A2,critic_loss_A2,bid_price_A2,reward_A3,green_frac_A3,delta_green_A3,penalty_A3,shortfall_A3,queue_size_A3,actor_loss_A3,critic_loss_A3,bid_price_A3,reward_A4,green_frac_A4,delta_green_A4,penalty_A4,shortfall_A4,queue_size_A4,actor_loss_A4,critic_loss_A4,bid_price_A4,reward_A5,green_frac_A5,delta_green_A5,penalty_A5,shortfall_A5,queue_size_A5,actor_loss_A5,critic_loss_A5,bid_price_A5,reward_A6,green_frac_A6,delta_green_A6,penalty_A6,shortfall_A6,queue_size_A6,actor_loss_A6,critic_loss_A6,bid_price_A6,reward_A7,green_frac_A7,delta_green_A7,penalty_A7,shortfall_A7,queue_size_A7,actor_loss_A7,critic_loss_A7,bid_price_A7,reward_A8,green_frac_A8,delta_green_A8,penalty_A8,shortfall_A8,queue_size_A8,actor_loss_A8,critic_loss_A8,bid_price_A8,secondary_volume,secondary_avg_price,secondary_match_rate,price_start,price_peak,price_std,mean_alloc_A1,mean_shock_A1,max_shock_A1,mean_cf_shock_A1,total_cancels_A1,total_holding_cost_A1,total_mac_reduction_A1,mean_alloc_A2,mean_shock_A2,max_shock_A2,mean_cf_shock_A2,total_cancels_A2,total_holding_cost_A2,total_mac_reduction_A2,mean_alloc_A3,mean_shock_A3,max_shock_A3,mean_cf_shock_A3,total_cancels_A3,total_holding_cost_A3,total_mac_reduction_A3,mean_alloc_A4,mean_shock_A4,max_shock_A4,mean_cf_shock_A4,total_cancels_A4,total_holding_cost_A4,total_mac_reduction_A4,mean_alloc_A5,mean_shock_A5,max_shock_A5,mean_cf_shock_A5,total_cancels_A5,total_holding_cost_A5,total_mac_reduction_A5,mean_alloc_A6,mean_shock_A6,max_shock_A6,mean_cf_shock_A6,total_cancels_A6,total_holding_cost_A6,total_mac_reduction_A6,mean_alloc_A7,mean_shock_A7,max_shock_A7,mean_cf_shock_A7,total_cancels_A7,total_holding_cost_A7,total_mac_reduction_A7,mean_alloc_A8,mean_shock_A8,max_shock_A8,mean_cf_shock_A8,total_cancels_A8,total_holding_cost_A8,total_mac_reduction_A8
0,60.0,20.5969860855,0.03,1.0,1,-1,0.25,-1.7932,0.3127,0.11265,0.0,0.0,4.5,0.0,0.408674,83.25,-2.18,0.2601,0.06007,0.0,0.0,3.75,0.0,5.077285,76.08,-1.6074,0.4414,0.04139,0.0,0.0,3.25,0.0,1.63403,78.68,-1.2111,0.554,0.15397,0.0,0.0,2.75,0.0,6.762249,76.57,-1.3214,0.764,0.06396,0.0,0.0,5.0,0.0,0.816935,84.06,-0.6372,0.7388,0.03879,65.023396,0.650234,1.75,0.0,2.831643,86.6,0.1299,0.95,0.05,0.0,0.0,3.75,0.0,11.542904,95.79,-0.6558,0.9364,0.03636,32.117436,0.321174,2.75,0.0,3.909409,91.98,8.043,68.18,1.0,60.0,60.0,0.0,3.8888,0.0,0.0,0.0,0,0.0,0.0,4.3083,0.0,0.0,0.0,0,0.0,0.0,4.0483,0.0,0.0,0.0,0,1.28,0.0,2.8516,0.0,0.0,0.0,0,0.2241,0.0,1.5688,0.0,0.0,0.0,0,29.7698,0.0,1.277,0.0,0.0,0.0,0,0.0,0.0,0.3341,0.0,0.0,0.0,0,0.0,0.0,0.3625,0.0,0.0,0.0,0,0.0,0.0
1,60.0,20.5969860855,0.03,1.0,1,-1,0.25,-2.2081,0.2544,0.05436,98.269027,0.98269,3.0,0.0,2.613849,77.11,-2.0519,0.242,0.04197,0.0,0.0,3.25,0.0,2.241267,90.64,-0.796,0.5614,0.16135,0.0,0.0,3.5,0.0,2.402438,99.49,-1.2706,0.4981,0.09809,11.701846,0.117018,3.5,0.0,1.467109,82.23,-0.4294,0.7755,0.07547,0.0,0.0,4.0,0.0,11.195686,97.13,-1.6251,0.7769,0.07689,0.0,0.0,4.5,0.0,4.363833,66.57,-0.0261,0.95,0.05,0.0,0.0,3.25,0.0,0.379242,95.97,-0.1667,0.95,0.05,0.0,0.0,4.5,0.0,2.54769,76.49,5.1804,62.34,0.75,60.0,60.0,0.0,3.9043,0.0,0.0,0.0,0,0.0,0.0,4.8211,0.0,0.0,0.0,0,1.6598,0.0,2.5955,0.0,0.0,0.0,0,1.1412,0.0,2.4488,0.0,0.0,0.0,0,0.0,0.0,1.3089,0.0,0.0,0.0,0,0.5247,0.0,2.002,0.0,0.0,0.0,0,18.3129,0.0,0.4224,0.0,0.0,0.0,0,0.975,0.0,0.6256,0.0,0.0,0.0,0,0.0189,0.0
2,60.0,20.5969860855,0.03,1.0,1,-1,0.2499,-2.5897,0.2547,0.05469,0.0,0.0,2.25,0.0,0.827237,72.04,-3.4377,0.2403,0.04027,388.157311,3.881573,3.25,0.0,26.510548,75.72,-1.0162,0.4609,0.06094,0.0,0.0,1.75,0.0,1.584281,81.33,-0.5636,0.542,0.142,0.0,0.0,6.25,0.0,16.148699,63.36,-1.0891,0.7894,0.08942,0.0,0.0,3.25,0.0,1.964174,72.31,-0.951,0.7476,0.04762,0.0,0.0,2.75,0.0,1.435999,81.95,-0.6941,0.95,0.05,44.87846,0.448785,2.75,0.0,2.089881,92.05,0.041,0.9127,0.01269,0.0,0.0,1.0,0.0,0.462759,78.78,8.4063,60.31,0.75,60.0,60.0,0.0,3.6685,0.0,0.0,0.0,0,1.3444,0.0,2.8307,0.0,0.0,0.0,0,0.2005,0.0,3.9196,0.0,0.0,0.0,0,16.1281,0.0,2.3758,0.0,0.0,0.0,0,0.0368,0.0,1.1769,0.0,0.0,0.0,0,4.0445,0.0,2.0371,0.0,0.0,0.0,0,7.1895,0.0,0.3728,0.0,0.0,0.0,0,0.0,0.0,0.443,0.0,0.0,0.0,0,26.8569,0.0
3,60.0,20.5969860855,0.03,1.0,1,-1,0.2499,-2.5604,0.2718,0.0718,0.0,0.0,4.5,0.0,0.759853,80.0,-2.3775,0.2494,0.0494,0.0,0.0,1.25,0.0,3.517311,66.98,-1.395,0.4662,0.06622,149.943704,1.499437,4.25,0.0,0.832993,83.12,-0.3176,0.5879,0.18787,0.0,0.0,3.75,0.0,7.436073,83.99,-1.6091,0.7532,0.05317,0.0,0.0,3.5,0.0,1.847494,73.99,0.1595,0.7989,0.09889,0.0,0.0,3.25,0.0,17.782937,83.37,0.5438,1.0,0.1,0.0,0.0,1.5,0.0,13.387375,75.09,0.7065,1.0,0.1,0.0,0.0,1.0,0.0,4.217842,99.45,12.5188,57.59,1.0,60.0,60.0,0.0,4.7813,0.0,0.0,0.0,0,0.0,0.0,3.8632,0.0,0.0,0.0,0,0.0163,0.0,3.3296,0.0,0.0,0.0,0,0.0,0.0,2.3759,0.0,0.0,0.0,0,0.1304,0.0,1.6479,0.0,0.0,0.0,0,61.752,0.0,1.2599,0.0,0.0,0.0,0,0.0,0.0,0.3793,0.0,0.0,0.0,0,49.0761,0.0,0.3965,0.0,0.0,0.0,0,49.5241,0.0
4,60.0,20.5969860855,0.03,1.0,1,-1,0.2499,-2.5442,0.3426,0.14259,0.0,0.0,1.25,0.0,0.157209,83.54,-1.141,0.3054,0.1054,42.042256,0.420423,2.5,0.0,5.318089,83.06,-1.7967,0.4629,0.06294,0.0,0.0,2.75,0.0,1.934831,89.93,-1.8483,0.4188,0.01877,0.0,0.0,2.75,0.0,3.93093,65.54,-0.935,0.7518,0.05185,0.0,0.0,4.0,0.0,1.272215,80.74,0.0797,0.7506,0.05056,0.0,0.0,2.75,0.0,7.355092,79.25,-1.1256,0.95,0.05,0.0,0.0,3.5,0.0,2.131164,75.52,0.572,1.0,0.1,0.0,0.0,1.5,0.0,1.61184,92.84,15.8304,64.38,1.0,60.0,60.0,0.0,3.4842,0.0,0.0,0.0,0,0.0316,0.0,3.8165,0.0,0.0,0.0,0,0.0,0.0,3.7737,0.0,0.0,0.0,0,37.531,0.0,4.3375,0.0,0.0,0.0,0,0.4305,0.0,0.9275,0.0,0.0,0.0,0,0.5844,0.0,1.5971,0.0,0.0,0.0,0,0.0007,0.0,0.4991,0.0,0.0,0.0,0,4.2647,0.0,0.273,0.0,0.0,0.0,0,0.0,0.0
5,60.0,20.5969860855,0.03,1.0,1,-1,0.2499,-2.3085,0.3312,0.13118,0.0,0.0,2.5,0.049533,3.596742,78.2,-2.6766,0.3407,0.14074,43.067328,0.430673,2.75,-0.018203,2.82981,82.03,-1.3325,0.5052,0.10515,0.0,0.0,2.75,-0.189244,1.054966,83.68,-1.8652,0.4554,0.05544,144.984507,1.449845,3.0,-0.24276,5.981568,60.81,-0.016,0.7847,0.08471,0.0,0.0,4.5,-0.342619,3.394045,91.28,-0.3752,0.7773,0.07734,0.0,0.0,4.0,-0.098264,0.506018,75.11,-0.5869,1.0,0.1,20.709043,0.20709,2.25,-0.29878,0.448459,84.3,0.2935,0.9775,0.07747,0.0,0.0,1.75,-0.023288,0.751624,88.88,11.7415,67.8,1.0,60.0,63.24,1.4,4.049,0.0,0.0,0.0,0,10.4846,0.0,3.4785,0.0,0.0,0.0,0,0.0,0.0,3.3563,0.0,0.0,0.0,0,14.1503,0.0,2.0065,0.0,0.0,0.0,0,0.0043,0.0,1.9775,0.0,0.0,0.0,0,0.0,0.0,1.7219,0.0,0.0,0.0,0,52.3966,0.0,0.2271,0.0,0.0,0.0,0,0.044,0.0,0.3578,0.0,0.0,0.0,0,164.4208,0.0
6,74.92185974121094,20.5969860855,0.03,1.0,1,-1,0.2498,-1.7883,0.4369,0.23694,0.0,0.0,2.75,0.086108,8.378893,70.55,-1.937,0.3174,0.11745,0.0,0.0,2.25,0.054512,0.22914,74.21,-1.0035,0.4838,0.08383,0.0,0.0,2.25,-0.152521,0.602531,80.94,-4.0982,0.4426,0.04265,485.820832,4.858208,3.75,0.134114,10.070062,73.91,-1.889,0.7484,0.0484,0.0,0.0,3.5,0.002372,9.195648,86.08,-0.6709,0.8507,0.15066,46.083329,0.460833,1.75,-0.009934,1.445322,98.84,-0.5759,1.0,0.1,57.934736,0.579347,1.75,0.034241,7.186465,72.63,-0.6369,1.0,0.1,0.0,0.0,3.25,0.160845,5.214692,86.99,8.5127,75.4,1.0,60.0,74.92,6.46,4.1082,0.0,0.0,0.0,0,0.0054,0.5381,3.8011,0.0,0.0,0.0,0,3.924,0.66,3.9788,0.0,0.0,0.0,0,14.5548,0.2184,2.4759,0.0,0.0,0.0,0,0.0,0.3543,1.2601,0.0,0.0,0.0,0,0.3585,0.0053,1.3769,0.0,0.0,0.0,0,0.8072,0.0,0.0662,0.0,0.0,0.0,0,12.7833,0.0,0.4586,0.0,0.0,0.0,0,294.6192,0.0
7,60.0,20.5969860855,0.03,1.0,1,-1,0.2498,-1.8006,0.317,0.11699,0.0,0.0,2.5,0.069362,3.195014,67.78,-3.1355,0.2379,0.03794,0.0,0.0,2.75,-0.069184,11.764897,75.01,-0.8751,0.5,0.1,0.0,0.0,2.75,-0.130652,8.426505,80.11,-1.7214,0.4686,0.06856,0.0,0.0,3.0,-0.019963,0.75738,72.07,-2.0057,0.75,0.05002,233.546465,2.335465,3.0,-0.039907,5.458731,73.14,0.0695,0.7979,0.09787,0.0,0.0,4.75,0.132793,2.706274,72.19,0.0856,0.95,0.05,0.0,0.0,2.75,0.002324,7.071465,64.22,0.7222,1.0,0.1,0.0,0.0,1.75,0.089735,1.233504,89.14,12.4368,62.55,1.0,60.0,60.0,0.0,4.0381,0.0,0.0,0.0,0,1.1421,0.0,4.3399,0.0,0.0,0.0,0,0.0341,0.0,2.033,0.0,0.0,0.0,0,0.73,0.0,2.1685,0.0,0.0,0.0,0,6.4356,0.0,1.7644,0.0,0.0,0.0,0,0.0,0.0,1.6605,0.0,0.0,0.0,0,46.2415,0.0,0.453,0.0,0.0,0.0,0,0.3315,0.0,0.3515,0.0,0.0,0.0,0,0.1452,0.0
8,60.0,20.5969860855,0.03,1.0,1,-1,0.2498,-2.147,0.241,0.04104,0.0,0.0,2.5,-0.015135,1.488683,100.09,-2.5128,0.2489,0.04894,0.0,0.0,2.75,0.095451,1.174809,82.21,-1.4645,0.4385,0.03853,0.0,0.0,2.25,-0.060643,3.301289,92.7,-2.2849,0.4142,0.01415,0.0,0.0,1.75,0.122361,1.370749,71.94,-1.4117,0.7077,0.00768,0.0,0.0,2.5,-0.016578,1.641198,69.54,0.1169,0.7691,0.06912,0.0,0.0,2.75,-0.097821,1.046838,84.43,0.1564,1.0,0.1,15.215135,0.152151,1.25,0.021648,6.538806,86.86,-1.0264,0.9429,0.04289,61.270638,0.612706,2.0,0.150476,16.663054,74.63,7.4318,63.95,1.0,60.0,60.0,0.0,3.2874,0.0,0.0,0.0,0,0.5519,0.0,4.5611,0.0,0.0,0.0,0,0.0247,0.0,1.9724,0.0,0.0,0.0,0,0.0389,0.0,4.0493,0.0,0.0,0.0,0,12.6259,0.0,1.6233,0.0,0.0,0.0,0,0.0,0.0,1.5319,0.0,0.0,0.0,0,0.0042,0.0,0.3365,0.0,0.0,0.0,0,0.2045,0.0,0.2775,0.0,0.0,0.0,0,0.0,0.0
9,60.0,20.5969860855,0.03,1.0,1,-1,0.2497,-1.8423,0.3662,0.16619,0.0,0.0,3.75,-0.028555,0.685426,82.37,-1.6893,0.3149,0.11489,0.0,0.0,4.0,-0.006723,2.171999,70.54,-1.971,0.523,0.123,0.0,0.0,3.25,0.074818,1.545051,94.97,-1.2729,0.5812,0.18123,0.0,0.0,3.25,-0.01312,4.776883,67.06,-0.1358,0.7391,0.03914,0.0,0.0,4.25,-0.039845,4.257793,82.42,0.4669,0.7758,0.07577,0.0,0.0,0.5,-0.030947,2.011664,80.71,-0.465,0.973,0.07304,26.216763,0.262168,2.75,0.037032,1.625958,77.78,-2.1501,1.0,0.1,122.660151,1.226602,2.75,0.087119,26.390228,70.08,10.5129,64.79,1.0,62.8,62.8,1.21,3.5018,0.0,0.0,0.0,0,0.0,0.0,3.1788,0.0,0.0,0.0,0,6.4183,0.0,4.2378,0.0,0.0,0.0,0,12.9722,0.0,3.5315,0.0,0.0,0.0,0,2.1847,0.0,1.7695,0.0,0.0,0.0,0,0.2838,0.0,0.7311,0.0,0.0,0.0,0,0.5763,0.0,0.3414,0.0,0.0,0.0,0,0.7478,0.0,0.2722,0.0,0.0,0.0,0,0.0,0.0
