episode,clearing_price_last,cap_last,entropy_coef,shaping_weight,entropy_decay_triggered,active_agent,reward_A1,green_frac_A1,delta_green_A1,penalty_A1,shortfall_A1,queue_size_A1,actor_loss_A1,critic_loss_A1,bid_price_A1,reward_A2,green_frac_A2,delta_green_A2,penalty_A2,shortfall_A2,queue_size_A2,actor_loss_A2,critic_loss_A2,bid_price_A2,reward_A3,green_frac_A3,delta_green_A3,penalty_A3,shortfall_A3,queue_size_A3,actor_loss_A3,critic_loss_A3,bid_price_A3,reward_A4,green_frac_A4,delta_green_A4,penalty_A4,shortfall_A4,queue_size_A4,actor_loss_A4,critic_loss_A4,bid_price_A4,reward_A5,green_frac_A5,delta_green_A5,penalty_A5,shortfall_A5,queue_size_A5,actor_loss_A5,critic_loss_A5,bid_price_A5,reward_A6,green_frac_A6,delta_green_A6,penalty_A6,shortfall_A6,queue_size_A6,actor_loss_A6,critic_loss_A6,bid_price_A6,reward_A7,green_frac_A7,delta_green_A7,penalty_A7,shortfall_A7,queue_size_A7,actor_loss_A7,critic_loss_A7,bid_price_A7,reward_A8,green_frac_A8,delta_green_A8,penalty_A8,shortfall_A8,queue_size_A8,actor_loss_A8,critic_loss_A8,bid_price_A8,secondary_volume,secondary_avg_price,secondary_match_rate,price_start,price_peak,price_std,mean_alloc_A1,mean_shock_A1,max_shock_A1,mean_cf_shock_A1,total_cancels_A1,total_holding_cost_A1,total_mac_reduction_A1,mean_alloc_A2,mean_shock_A2,max_shock_A2,mean_cf_shock_A2,total_cancels_A2,total_holding_cost_A2,total_mac_reduction_A2,mean_alloc_A3,mean_shock_A3,max_shock_A3,mean_cf_shock_A3,total_cancels_A3,total_holding_cost_A3,total_mac_reduction_A3,mean_alloc_A4,mean_shock_A4,max_shock_A4,mean_cf_shock_A4,total_cancels_A4,total_holding_cost_A4,total_mac_reduction_A4,mean_alloc_A5,mean_shock_A5,max_shock_A5,mean_cf_shock_A5,total_cancels_A5,total_holding_cost_A5,total_mac_reduction_A5,mean_alloc_A6,mean_shock_A6,max_shock_A6,mean_cf_shock_A6,total_cancels_A6,total_holding_cost_A6,total_mac_reduction_A6,mean_alloc_A7,mean_shock_A7,max_shock_A7,mean_cf_shock_A7,total_cancels_A7,total_holding_cost_A7,total_mac_reduction_A7,mean_alloc_A8,mean_shock_A8,max_shock_A8,mean_cf_shock_A8,total_cancels_A8,total_holding_cost_A8,total_mac_reduction_A8
0,40.8347282409668,21.035219832,0.02,1.0,1,0,1.4158,0.3765,0.1765,0.0,0.0,4.25,-0.026041,0.441966,80.16,2.5354,0.2601,0.06007,0.0,0.0,3.5,-0.009726,2.440894,79.93,0.0272,0.45,0.04997,89.039893,0.890399,2.75,-0.011468,0.182984,88.18,0.8521,0.4881,0.08814,0.0,0.0,3.25,-0.008661,0.261626,55.52,0.9171,0.8592,0.15925,0.0,0.0,4.5,-0.006804,0.700454,75.9,1.0308,0.7139,0.01392,0.0,0.0,2.25,-0.009197,0.703061,67.56,1.6246,1.0,0.1,23.785026,0.23785,3.0,-0.009534,1.641556,57.96,2.7875,1.0,0.1,24.34927,0.243493,2.0,-0.008382,2.926855,75.22,12.9195,49.58,1.0,41.56,61.15,8.34,3.4669,0.0,0.0,0.0,0,0.0,0.0,4.8795,0.0,0.0,0.0,0,0.0,0.0,3.8257,0.0,0.0,0.0,0,0.0,0.0,2.7423,0.0,0.0,0.0,0,0.0,0.0,2.0414,0.0,0.0,0.0,0,0.1608,0.0,1.4346,0.0,0.0,0.0,0,0.0743,0.0,0.5564,0.0,0.0,0.0,0,0.0015,0.0,0.24,0.0,0.0,0.0,0,0.0,0.0
1,76.43275451660156,20.109670159392,0.02,1.0,1,1,-0.8416,0.2544,0.05436,2773.529419,27.735294,3.4,-0.002998,2.742395,67.8,1.4873,0.3003,0.10027,0.0,0.0,4.2,-0.030138,0.585618,86.03,-0.4215,0.5309,0.13095,0.0,0.0,4.2,-0.004389,0.129972,77.21,1.376,0.6184,0.21839,0.0,0.0,2.8,-0.005556,1.139386,85.11,-2.1242,0.8042,0.10417,576.122409,5.761224,4.2,-0.006158,4.875788,75.93,2.6009,0.8773,0.17726,0.0,0.0,4.6,-0.003066,2.173105,84.49,2.8006,1.0,0.1,32.084891,0.320849,3.6,-0.00875,1.953017,76.87,2.1318,0.9941,0.09415,0.0,0.0,4.2,-0.004154,1.15993,70.99,20.2221,54.48,1.0,48.99,76.43,10.91,3.46,0.0,0.0,0.0,0,0.0,0.66,3.3767,0.0,0.0,0.0,0,0.0135,0.66,3.4176,0.0,0.0,0.0,0,0.2106,0.0629,3.0885,0.0,0.0,0.0,0,0.0539,0.0,2.4027,0.0,0.0,0.0,0,0.003,0.0,1.2336,0.0,0.0,0.0,0,0.0506,0.0,0.3622,0.0,0.0,0.0,0,0.0501,0.0,0.432,0.0,0.0,0.0,0,0.1645,0.0
2,42.326873779296875,19.22484467237875,0.01969,1.0,1,2,2.8022,0.3673,0.16731,0.0,0.0,2.5,-0.004888,1.727245,81.39,1.3853,0.2403,0.04027,227.661535,2.276615,2.67,-0.003356,0.20745,85.6,0.3815,0.413,0.01297,0.0,0.0,2.5,-0.016998,0.178173,80.81,3.9102,0.6572,0.25724,0.0,0.0,5.83,-0.004991,3.870551,77.21,-1.8963,0.9198,0.2198,753.320913,7.533209,3.17,-0.00217,1.478411,72.99,2.2874,0.8991,0.19915,0.0,0.0,3.5,-8.1e-05,2.612268,75.81,0.6427,1.0,0.1,68.5,0.685,2.67,-0.007961,0.200709,83.13,2.8765,0.9788,0.07884,51.934943,0.519349,3.33,-0.000209,2.727036,79.63,15.4396,57.48,1.0,81.04,81.04,13.61,3.7732,0.0,0.0,0.0,0,0.1503,0.66,3.6535,0.0,0.0,0.0,0,0.0102,0.66,3.0176,0.0,0.0,0.0,0,0.0619,0.4674,2.3024,0.0,0.0,0.0,0,0.156,0.4567,1.5639,0.0,0.0,0.0,0,0.0,0.165,1.1811,0.0,0.0,0.0,0,0.0919,0.1123,0.2931,0.0,0.0,0.0,0,0.057,0.0,0.3193,0.0,0.0,0.0,0,0.0286,0.0
3,45.95243453979492,19.22484467237875,0.01937,1.0,1,3,2.8315,0.3119,0.11193,0.0,0.0,3.83,-0.001393,1.710575,100.09,2.0288,0.2494,0.0494,0.0,0.0,2.83,-0.00035,0.461756,96.24,1.5075,0.5936,0.19356,291.501026,2.91501,4.0,-0.01016,1.163925,86.12,3.13,0.6064,0.2064,0.0,0.0,3.17,-0.02534,1.763582,88.87,1.5827,0.7767,0.07672,149.504513,1.495045,2.83,-0.005822,2.400401,75.65,3.199,0.7915,0.0915,0.0,0.0,4.0,-0.003021,3.090455,65.54,3.1106,1.0,0.1,0.0,0.0,2.0,-0.001974,2.982219,68.28,1.9214,1.0,0.1,69.465628,0.694656,3.17,-0.005241,0.520979,81.67,18.1096,56.15,1.0,42.3,71.67,10.69,4.2829,0.0,0.0,0.0,0,0.0278,0.66,4.4374,0.0,0.0,0.0,0,0.0,0.66,2.5655,0.0,0.0,0.0,0,0.0,0.3497,2.1251,0.0,0.0,0.0,0,0.0,0.0759,1.2863,0.0,0.0,0.0,0,0.0,0.0101,1.4839,0.0,0.0,0.0,0,0.0197,0.0,0.2328,0.0,0.0,0.0,0,0.0745,0.0,0.4622,0.0,0.0,0.0,0,0.0668,0.0
4,41.069435119628906,18.378951506794085,0.01906,1.0,1,4,2.5227,0.3814,0.18138,288.17001,2.8817,2.86,0.115405,0.946554,81.36,3.5427,0.3185,0.11849,116.477466,1.164775,2.71,0.61115,0.976526,67.96,1.2128,0.5152,0.11516,0.0,0.0,3.0,0.161176,0.369445,85.44,1.2487,0.4666,0.06659,0.0,0.0,3.0,-0.523664,0.212044,79.65,2.7241,0.9034,0.20343,127.832785,1.278328,2.71,-0.240888,3.632203,66.58,2.6429,1.0,0.3,0.0,0.0,2.57,-0.339694,1.945545,80.31,-0.6799,1.0,0.1,102.332781,1.023328,2.86,0.285001,3.575474,84.97,0.6857,0.961,0.06102,353.193661,3.531937,3.0,-0.276632,0.725093,95.78,23.9382,51.82,1.0,45.44,63.51,7.43,4.0359,0.0,0.0,0.0,0,0.0,0.0,3.8886,0.0,0.0,0.0,0,0.0,0.0,3.2309,0.0,0.0,0.0,0,0.0768,0.0,3.5999,0.0,0.0,0.0,0,0.2098,0.0,1.1207,0.0,0.0,0.0,0,0.0041,0.0,0.756,0.0,0.0,0.0,0,0.0991,0.0,0.4645,0.0,0.0,0.0,0,0.0051,0.0,0.6109,0.0,0.0,0.0,0,0.0317,0.0
5,43.80571365356445,17.570277640495146,0.01875,1.0,1,5,1.9413,0.3475,0.14752,0.0,0.0,3.25,-0.142841,0.183625,77.57,2.5349,0.3146,0.11459,918.772241,9.187722,2.88,0.477488,0.451458,84.85,2.0638,0.6123,0.21234,18.968778,0.189688,3.75,-0.143399,0.803638,95.68,1.7896,0.5031,0.10313,0.0,0.0,2.38,-0.281731,0.49476,101.5,3.5342,0.939,0.23899,0.0,0.0,3.88,-0.153816,3.745155,82.79,2.9835,0.9738,0.27382,85.507259,0.855073,3.5,0.134825,0.558887,76.9,-0.4637,1.0,0.1,135.405461,1.354055,2.25,-0.002485,1.593267,80.79,1.9133,1.0,0.1,122.467231,1.224672,0.5,0.126387,0.781254,93.75,24.8411,58.45,1.0,73.21,74.41,12.25,3.348,0.0,0.0,0.0,0,0.0106,1.32,3.4564,0.0,0.0,0.0,0,0.0,1.32,2.7242,0.0,0.0,0.0,0,0.0428,0.5855,2.9583,0.0,0.0,0.0,0,0.7583,0.5928,0.9814,0.0,0.0,0.0,0,0.1157,0.1314,0.9043,0.0,0.0,0.0,0,0.0151,0.0,0.3921,0.0,0.0,0.0,0,0.0186,0.0,0.2914,0.0,0.0,0.0,0,0.0202,0.0
6,64.50759887695312,16.79718542431336,0.01844,1.0,1,6,2.1311,0.3289,0.12888,1861.11603,18.61116,2.78,-0.07242,1.157555,79.96,4.2677,0.3457,0.14573,0.0,0.0,3.22,0.129337,0.898144,75.52,0.3606,0.5995,0.19954,0.0,0.0,2.67,-0.164342,0.203966,78.26,3.9084,0.5562,0.15621,18.635406,0.186354,3.89,0.037606,1.456396,83.66,2.1845,0.8975,0.19753,368.183544,3.681835,3.33,-0.121141,0.785567,64.85,3.4408,0.9325,0.23251,187.047072,1.870471,3.56,0.023897,0.657752,93.66,1.0849,1.0,0.1,90.098968,0.90099,2.89,0.049372,0.300438,80.5,3.102,1.0,0.1,34.327862,0.343279,2.44,0.068338,1.004431,68.05,33.0512,54.95,1.0,46.45,64.51,7.56,3.9752,0.0,0.0,0.0,0,0.0,0.0,4.0766,0.0,0.0,0.0,0,0.0,0.0,2.7591,0.0,0.0,0.0,0,0.4245,0.0,2.4308,0.0,0.0,0.0,0,0.0332,0.0,1.0169,0.0,0.0,0.0,0,0.0007,0.0,1.3197,0.0,0.0,0.0,0,0.0217,0.0,0.337,0.0,0.0,0.0,0,0.1186,0.0,0.3991,0.0,0.0,0.0,0,0.1207,0.0
7,53.777923583984375,16.05810926564357,0.01812,1.0,1,7,4.9522,0.4524,0.25242,0.0,0.0,3.7,-0.09557,2.435637,78.5,3.6592,0.3697,0.16967,735.217704,7.352177,3.1,0.029656,1.078593,88.55,4.2661,0.8043,0.40426,948.048172,9.480482,3.2,0.062793,6.34501,78.76,3.7234,0.6466,0.24663,0.0,0.0,2.1,0.051596,0.494468,76.39,7.6114,1.0,0.3,0.0,0.0,2.7,-0.026938,15.193964,92.22,1.8877,1.0,0.3,94.163926,0.941639,2.8,0.148355,8.270747,94.87,5.8091,1.0,0.1,0.0,0.0,2.9,-0.076528,7.236582,90.78,-1.1133,1.0,0.1,209.686131,2.096861,0.8,0.039225,7.084897,87.35,26.984,56.29,1.0,60.84,72.92,8.29,3.4651,0.0,0.0,0.0,0,0.1086,0.66,3.8642,0.0,0.0,0.0,0,0.0,0.66,2.1478,0.0,0.0,0.0,0,0.0,0.1352,2.7935,0.0,0.0,0.0,0,0.5464,0.1236,0.6792,0.0,0.0,0.0,0,0.2684,0.0,0.939,0.0,0.0,0.0,0,0.0,0.0,0.3294,0.0,0.0,0.0,0,0.0868,0.0,0.4205,0.0,0.0,0.0,0,0.012,0.0
8,43.22014236450195,16.05810926564357,0.01781,1.0,1,0,1.2691,0.4624,0.26243,3436.906418,34.369064,2.7,-0.092495,0.909394,77.81,1.665,0.3411,0.14114,948.515337,9.485153,1.9,0.091049,1.090608,83.01,1.4969,0.7408,0.34076,0.0,0.0,2.4,-0.083797,0.301985,82.83,1.524,0.6147,0.21467,0.0,0.0,3.2,-0.016028,1.610764,84.29,7.2254,1.0,0.3,64.988815,0.649888,2.2,-0.096679,12.642256,75.49,5.6442,0.93,0.22997,0.0,0.0,3.4,0.05284,2.689407,79.88,4.54,1.0,0.1,79.137727,0.791377,1.4,-0.005215,3.324627,96.35,-0.2446,1.0,0.1,222.076793,2.220768,1.2,-0.05814,1.330652,89.26,23.512,54.71,0.9,44.47,64.47,6.38,3.7325,0.0,0.0,0.0,0,0.0,0.0,3.6846,0.0,0.0,0.0,0,0.0,0.0,2.7212,0.0,0.0,0.0,0,0.1935,0.0,2.8312,0.0,0.0,0.0,0,0.2099,0.0,0.8126,0.0,0.0,0.0,0,0.0297,0.0,0.9585,0.0,0.0,0.0,0,0.246,0.0,0.2541,0.0,0.0,0.0,0,0.0619,0.0,0.4274,0.0,0.0,0.0,0,0.0379,0.0
9,41.32561111450195,15.351552457955252,0.0175,1.0,1,1,0.9158,0.5199,0.31991,3863.09287,38.630929,3.82,-0.004172,2.820707,85.38,6.2707,0.4853,0.28532,0.0,0.0,3.36,-0.007753,3.729777,81.8,0.6037,0.601,0.20095,212.642438,2.126424,3.18,-0.02763,0.421337,87.77,0.3889,0.6567,0.25671,0.0,0.0,3.36,-0.016238,3.867305,78.75,0.3333,1.0,0.3,427.858386,4.278584,2.27,-0.002196,6.984451,80.41,2.0208,1.0,0.3,303.235644,3.032356,2.82,0.024306,1.328817,74.72,3.8465,1.0,0.1,104.368248,1.043682,2.09,-0.027948,1.218932,72.01,4.9902,1.0,0.1,0.0,0.0,1.73,-0.092527,3.940963,90.72,35.1878,50.54,1.0,41.6,83.92,12.07,3.5012,0.0,0.0,0.0,0,0.0,0.66,3.0178,0.0,0.0,0.0,0,0.4292,0.66,2.4721,0.0,0.0,0.0,0,0.0535,0.339,2.9175,0.0,0.0,0.0,0,0.0521,0.2021,0.9061,0.0,0.0,0.0,0,0.0263,0.0,1.0331,0.0,0.0,0.0,0,0.0119,0.0,0.4009,0.0,0.0,0.0,0,0.1653,0.0,0.2615,0.0,0.0,0.0,0,0.4301,0.0
